source	site	% U	V
0	alltheragefaces.com*	0.000003393	35477
0	allthingschristmas.com*	6.97775115326022E-07	6111
0	alltop.com*	2.68731562184694E-05	275782
0	alltrails.com*	5.37784121971461E-05	531776
0	allvoices.com*	0.0009977987	9246881
0	allworldauto.com*	0.00000212	19673
0	allworldautomotive.com*	1.16782611213218E-06	10695
0	allyou.com*	0.0001757761	1478942
0	almanac.com*	0.0001483105	1327353
0	almanacnews.com*	0.00000246	18484
0	alnmag.com*	2.57284840317326E-06	24150
0	alpacadirect.com*	1.94913953783377E-06	20726
0	alphagameplan.blogspot.com*	6.85343036065405E-06	72833
0	alphatv.gr*	0.000001327	15474
0	alt1040.com*	4.109163975718E-06	40443
0	altaplanning.com*	6.56597963912552E-07	7231
0	altdaily.com*	8.99582624170312E-07	8441
0	alternativeaddiction.com*	2.52851389829678E-06	24305
0	alternet.org*	0.0002860125	2777275
0	altmarket.net*	9.70886189876705E-07	23208
0	altoona.com*	1.41252100551574E-06	14956
0	altporn.net*	2.00860302805386E-06	19784
0	altpress.com*	4.8823340606129E-05	497162
0	aluxurytravelblog.com*	2.21067364968674E-06	18345
0	alyaum.com*	2.34051981085317E-06	25434
0	alzheimersreadingroom.com*	6.58637088024081E-06	61171
0	am940.com*	1.58578077679861E-06	12359
0	amalah.com*	7.59935511629103E-06	79682
0	amateurendurance.com*	5.70296969256845E-07	5068
0	amateurgolf.com*	2.81872730410545E-06	27662
0	amateurspixxx.com*	5.95818909749538E-07	5133
0	amazinavenue.com*	1.33788906303375E-05	148793
0	amazingdata.com*	1.2521537608735E-06	10037
0	amazingribs.com*	4.02724380899223E-05	359144
0	ameliaisland.com*	4.91770957503809E-06	51628
0	americablog.com*	4.54668107621569E-05	450251
0	americamia.com*	1.51763456455523E-05	186777
0	americanbanker.com*	0.000035086	388454
0	americanbedu.com*	0.000001008	8161
0	americancatholic.org*	2.29347524425427E-05	216583
0	americancinematheque.com*	1.67313422260866E-06	14194
0	americancivilwar.com*	2.59166096755705E-06	19216
0	americancornhole.com*	1.25715290385661E-06	13430
0	americandialtone.com*	0.000000524	5129
0	americandigest.org*	2.74071436229016E-06	31673
0	americanelf.com*	4.4413438713059E-07	5436
